;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
2263;APC MR;APC MR;0.5625;0.37;11.3;0.6089;0.0901;0.055;0.009;0.146;0.188;8;0.088860118;0.053909444;0
2264;APC MR;APC MR;0.5625;0.4;12.1;0.6347;0.0856;0.054;0.009;0.144;0.179;8;0.084175458;0.052433388;0
2265;APC MR;APC MR;0.5625;0.43;13;0.6575;0.081;0.0529;0.009;0.14;0.169;8;0.079302277;0.050735031;0
2266;APC MR;APC MR;0.5625;0.46;13.9;0.6774;0.0763;0.0515;0.009;0.137;0.159;8;0.074243983;0.048814375;0
2267;APC MR;APC MR;0.5625;0.49;14.7;0.6947;0.0714;0.05;0.008;0.133;0.149;8;0.069003985;0.046671419;0
2268;APC MR;APC MR;0.5625;0.51;15.6;0.7094;0.0664;0.0482;0.008;0.128;0.139;8;0.065411389;0.045119281;0
2269;APC MR;APC MR;0.5625;0.54;16.5;0.7218;0.0612;0.0461;0.008;0.122;0.128;8;0.059876126;0.042605825;0
2270;APC MR;APC MR;0.5625;0.57;17.3;0.7317;0.0558;0.0436;0.007;0.116;0.117;8;0.054168248;0.039870069;0
2271;APC MR;APC MR;0.5625;0.6;18.2;0.739;0.0503;0.0408;0.007;0.109;0.105;8;0.048291163;0.036912013;0
2272;APC MR;APC MR;0.5625;0.63;19.1;0.7438;0.0445;0.0377;0.006;0.1;0.093;8;0.042248281;0.033731656;0
2273;APC MR;APC MR;0.5625;0.66;19.9;0.745;0.0386;0.0341;0.006;0.091;0.081;8;0.036043009;0.030329;0
2274;APC MR;APC MR;0.5625;0.69;20.8;0.7404;0.0324;0.0301;0.005;0.08;0.068;8;0.029678757;0.026704044;0
2275;APC MR;APC MR;0.5625;0.71;21.7;0.7262;0.0262;0.0258;0.004;0.068;0.055;8;0.025349282;0.024163906;0
2276;APC MR;APC MR;0.5625;0.74;22.5;0.6952;0.0198;0.0211;0.004;0.056;0.041;8;0.018727636;0.02016845;0
2277;APC MR;APC MR;0.5625;0.77;23.4;0.6224;0.0133;0.0165;0.003;0.044;0.028;8;0.011956099;0.015950694;0
2278;APC MR;APC MR;0.5625;0.8;24.3;0.4528;0.0067;0.0118;0.002;0.031;0.014;8;0.005038078;0.011510638;0
2279;APC MR;APC MR;0.5625;0.83;25.1;0.0055;0;0.0072;0.001;0.019;0;8;-0.002023017;0.006848281;0
2280;APC MR;APC MR;0.5625;0;0;0;0.1204;0.0518;0.017;0.215;0.393;8;0.129797998;0.053836138;0
2281;APC MR;APC MR;0.5625;0.03;1.1;0.0641;0.1194;0.0525;0.017;0.218;0.39;8;0.127718682;0.055101781;0
2282;APC MR;APC MR;0.5625;0.06;2.1;0.1253;0.1184;0.0533;0.018;0.221;0.386;8;0.125408808;0.056145125;0
2283;APC MR;APC MR;0.5625;0.08;3.2;0.1835;0.1171;0.054;0.018;0.224;0.382;8;0.123742487;0.056717188;0
2284;APC MR;APC MR;0.5625;0.11;4.3;0.2388;0.1157;0.0546;0.018;0.227;0.377;8;0.121055922;0.057390031;0
2285;APC MR;APC MR;0.5625;0.14;5.3;0.2911;0.1141;0.0552;0.018;0.229;0.372;8;0.118147887;0.057840575;0
2286;APC MR;APC MR;0.5625;0.17;6.4;0.3405;0.1122;0.0558;0.018;0.232;0.366;8;0.115021791;0.058068819;0
2287;APC MR;APC MR;0.5625;0.2;7.5;0.3869;0.1102;0.0562;0.019;0.233;0.359;8;0.111681043;0.058074763;0
2288;APC MR;APC MR;0.5625;0.23;8.5;0.4304;0.1077;0.0565;0.019;0.234;0.351;8;0.108129051;0.057858406;0
2289;APC MR;APC MR;0.5625;0.25;9.6;0.4711;0.105;0.0565;0.019;0.235;0.342;8;0.105645381;0.057590669;0
2290;APC MR;APC MR;0.5625;0.28;10.7;0.5089;0.1018;0.0564;0.019;0.234;0.332;8;0.101748889;0.057003813;0
2291;APC MR;APC MR;0.5625;0.31;11.7;0.5437;0.0984;0.0561;0.018;0.233;0.321;8;0.097650242;0.056194656;0
