TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Max_burst_current_A;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel
ProLiteX;TP5000-3SPX25;11.1;15000;25;50;250.0;159.025788;750.0;7951.289398;338943.717;1.047;491.23199999999997;599.4000000000001;54000.0;1;3
ProLiteX;TP5000-4SPX25;14.8;15000;25;50;250.0;159.1397849;750.0;7956.989247;341997.264;1.395;649.128;799.1999999999999;54000.0;1;3
ProLiteX;TP5000-5SPX25;18.5;15000;25;50;250.0;161.1498258;750.0;8057.491289;343855.9448;1.722;807.0239999999999;999.0;54000.0;1;3
ProLiteX;TP5000-6SPX25L;22.2;15000;25;50;250.0;157.4468085;750.0;7872.340426;338943.717;2.1149999999999998;982.4639999999999;1198.8000000000002;54000.0;1;3
ProLiteX;TP5000-7SPX25;25.9;15000;25;50;250.0;159.2865929;750.0;7964.329643;346005.0445;2.439;1122.816;1398.6;54000.0;1;3
ProLiteX;TP5000-8SPX25;29.6;15000;25;50;250.0;159.1397849;750.0;7956.989247;341997.264;2.79;1298.256;1598.3999999999999;54000.0;1;3
ProLiteX;TP5000-8SPX25L;29.6;15000;25;50;250.0;157.4468085;750.0;7872.340426;341997.264;2.82;1298.256;1598.3999999999999;54000.0;1;3
ProLiteX;TP5000-9SPX25;33.3;15000;25;50;250.0;159.1778203;750.0;7958.891013;347210.6369;3.138;1438.608;1798.1999999999998;54000.0;1;3
ProLiteX;TP5000-10SPX25;37.0;15000;25;50;250.0;159.2082616;750.0;7960.413081;343855.9448;3.4859999999999998;1614.0479999999998;1998.0;54000.0;1;3
ProLiteX;TP5000-10SPX25L;37.0;15000;25;50;250.0;157.8498294;750.0;7892.491468;343855.9448;3.516;1614.0479999999998;1998.0;54000.0;1;3
ProLiteX;TP6000-2SPX25;7.4;18000;25;50;300.0;173.4375;900.0;8671.875;376475.3765;0.768;353.808;479.52;64800.0;1;3
ProLiteX;TP6000-3SPX25;11.1;18000;25;50;300.0;179.0322581;900.0;8951.612903;376475.3765;1.116;530.712;719.28;64800.0;1;3
ProLiteX;TP6000-4SPX25;14.8;18000;25;50;300.0;181.2244898;900.0;9061.22449;387231.8158;1.47;687.96;959.04;64800.0;1;3
ProLiteX;TP6000-5SPX25;18.5;18000;25;50;300.0;173.9811912;900.0;8699.059561;393985.8591;1.9140000000000001;845.208;1198.8000000000002;64800.0;1;3
ProLiteX;TP6000-6SPX25;22.2;18000;25;50;300.0;179.2732167;900.0;8963.660834;390955.1986;2.229;1022.1120000000001;1438.56;64800.0;1;3
ProLiteX;TP6800-2SPX25;7.4;20400;25;50;340.0;154.3558282;1020.0;7717.791411;339197.8429;0.978;445.04999999999995;543.4559999999999;73440.0;1;3
ProLiteX;TP6800-3SPX25;11.1;20400;25;50;340.0;155.9504132;1020.0;7797.520661;334734.7134;1.452;676.476;815.184;73440.0;1;3
ProLiteX;TP6800-4SPX25;14.8;20400;25;50;340.0;162.5848142;1020.0;8129.240711;339197.8429;1.857;890.0999999999999;1086.9119999999998;73440.0;1;3
ProLiteX;TP6800-5SPX25;18.5;20400;25;50;340.0;163.1647211;1020.0;8158.236057;341933.3094;2.313;1103.7240000000002;1358.6399999999999;73440.0;1;3
ProLiteX;TP6800-6SPX25;22.2;20400;25;50;340.0;166.4388093;1020.0;8321.940463;339197.8429;2.721;1335.15;1630.368;73440.0;1;3
ProLiteX;TP8000-2SPX25;7.4;24000;25;50;400.0;169.1428571;1200.0;8457.142857;353736.944;1.0499999999999998;502.068;639.36;86400.0;1;3
ProLiteX;TP8000-3SPX25;11.1;24000;25;50;400.0;168.8212928;1200.0;8441.064639;353736.944;1.578;753.102;959.04;86400.0;1;3
ProLiteX;TP8000-4SPX25;14.8;24000;25;50;400.0;168.9015692;1200.0;8445.078459;353736.944;2.1029999999999998;1004.136;1278.72;86400.0;1;3
ProLiteX;TP8000-5SPX25;18.5;24000;25;50;400.0;172.2933644;1200.0;8614.668219;353736.944;2.577;1255.17;1598.3999999999999;86400.0;1;3
RAMPAGE;TP325-1SR70J;3.7;975;70;140;45.5;100.2083333;136.5;14029.16667;213777.7778;0.036000000000000004;16.875;12.986999999999998;3510.0;1;3
RAMPAGE;TP325-2SR70B;7.4;975;70;140;45.5;104.5652174;136.5;14639.13043;194343.4343;0.069;37.125;25.973999999999997;3510.0;1;3
RAMPAGE;TP450-3SR70J;11.1;1350;70;140;63.0;113.5227273;189.0;15893.18182;241654.5718;0.132;62.010000000000005;53.946;4860.0;1;3
RAMPAGE;TP870-2SR70J;7.4;2610;70;140;121.8;128.76;365.4;18026.4;266253.1017;0.15000000000000002;72.53999999999999;69.5304;9396.0;1;3
RAMPAGE;TP870-3SR70J;11.1;2610;70;140;121.8;130.5;365.4;18270.0;259596.7742;0.22199999999999998;111.60000000000001;104.29560000000001;9396.0;1;3
