;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Volume_mm3
25;29.6;28000;4914;168.6609687;1400.0;8433.048433;2079168
26;29.6;28000;4984;166.2921348;1400.0;8314.606742;2079168
27;33.3;28000;5530;168.6075949;1400.0;8430.379747;2301936
28;37.0;28000;6139;168.7571266;1400.0;8437.856328;2598960
29;37.0;28000;6209;166.854566;1400.0;8342.728298;2598960
30;22.2;28000;3752;165.6716418;1400.0;8283.58209;1559376
31;7.4;30800;1435;158.8292683;1540.0;7941.463415;654976
32;22.2;30800;4207;162.5291181;1540.0;8126.455907;1964928
33;25.9;30800;4907;162.5677603;1540.0;8128.388017;2251480
34;37.0;30800;6958;163.7826962;1540.0;8189.134809;3193008
35;11.1;35000;2443;159.025788;1750.0;7951.289398;1146208
36;14.8;35000;3255;159.1397849;1750.0;7956.989247;1514632
37;18.5;35000;4018;161.1498258;1750.0;8057.491289;1883056
38;33.3;35000;7322;159.1778203;1750.0;7958.891013;3356752
39;37.0;35000;8134;159.2082616;1750.0;7960.413081;3766112
40;37.0;35000;8204;157.8498294;1750.0;7892.491468;3766112
41;11.1;42000;2604;179.0322581;2100.0;8951.612903;1238328
42;14.8;42000;3430;181.2244898;2100.0;9061.22449;1605240
43;18.5;42000;4466;173.9811912;2100.0;8699.059561;1972152
44;22.2;42000;5201;179.2732167;2100.0;8963.660834;2384928
45;11.1;47600;3388;155.9504132;2380.0;7797.520661;1578444
46;22.2;47600;6349;166.4388093;2380.0;8321.940463;3115350
47;7.4;56000;2450;169.1428571;2800.0;8457.142857;1171492
48;11.1;56000;3682;168.8212928;2800.0;8441.064639;1757238
49;14.8;56000;4907;168.9015692;2800.0;8445.078459;2342984
50;18.5;56000;6013;172.2933644;2800.0;8614.668219;2928730
51;3.7;2275;84;100.2083333;318.5;14029.16667;39375
52;7.4;2275;161;104.5652174;318.5;14639.13043;86625
0;14.8;29600;1920;228.1666667;2664.0;20535.0;1204416
1;7.4;4000;240;123.3333333;200.0;6166.666667;114480
2;11.1;4000;352;126.1363636;200.0;6306.818182;165360
3;7.4;6000;312;142.3076923;300.0;7115.384615;163680
4;11.1;6000;456;146.0526316;300.0;7302.631579;245520
5;7.4;7280;376;143.2765957;364.0;7163.829787;184600
6;7.4;10800;488;163.7704918;540.0;8188.52459;240448
7;11.1;10800;752;159.4148936;540.0;7970.744681;369920
8;7.4;10800;512;156.09375;540.0;7804.6875;240448
9;11.1;10800;760;157.7368421;540.0;7886.842105;369920
10;11.1;17600;1208;161.7218543;880.0;8086.092715;599760
11;14.8;17600;1576;165.2791878;880.0;8263.959391;771120
12;7.4;22400;984;168.4552846;1120.0;8422.764228;471648
13;11.1;22400;1448;171.7127072;1120.0;8585.635359;665856
14;11.1;22400;1448;171.7127072;1120.0;8585.635359;665856
15;11.1;22400;1448;171.7127072;1120.0;8585.635359;665856
16;14.8;22400;1872;177.0940171;1120.0;8854.700855;887808
17;22.2;22400;2808;177.0940171;1120.0;8854.700855;1331712
18;22.2;27200;3824;157.9079498;1360.0;7895.39749;1764720
19;22.2;27200;3904;154.6721311;1360.0;7733.606557;1771256
20;29.6;27200;4888;164.7135843;1360.0;8235.679214;2322000
21;7.4;32000;1248;189.7435897;1600.0;9487.179487;636480
22;18.5;32000;3480;170.1149425;1600.0;8505.747126;1485120
23;22.2;32000;4288;165.6716418;1600.0;8283.58209;1782144
24;25.9;32000;4912;168.7296417;1600.0;8436.482085;2079168
25;29.6;32000;5616;168.6609687;1600.0;8433.048433;2376192
26;29.6;32000;5696;166.2921348;1600.0;8314.606742;2376192
27;33.3;32000;6320;168.6075949;1600.0;8430.379747;2630784
28;37.0;32000;7016;168.7571266;1600.0;8437.856328;2970240
29;37.0;32000;7096;166.854566;1600.0;8342.728298;2970240
30;22.2;32000;4288;165.6716418;1600.0;8283.58209;1782144
31;7.4;35200;1640;158.8292683;1760.0;7941.463415;748544
32;22.2;35200;4808;162.5291181;1760.0;8126.455907;2245632
33;25.9;35200;5608;162.5677603;1760.0;8128.388017;2573120
34;37.0;35200;7952;163.7826962;1760.0;8189.134809;3649152
35;11.1;40000;2792;159.025788;2000.0;7951.289398;1309952
36;14.8;40000;3720;159.1397849;2000.0;7956.989247;1731008
37;18.5;40000;4592;161.1498258;2000.0;8057.491289;2152064
38;33.3;40000;8368;159.1778203;2000.0;7958.891013;3836288
39;37.0;40000;9296;159.2082616;2000.0;7960.413081;4304128
40;37.0;40000;9376;157.8498294;2000.0;7892.491468;4304128
41;11.1;48000;2976;179.0322581;2400.0;8951.612903;1415232
42;14.8;48000;3920;181.2244898;2400.0;9061.22449;1834560
43;18.5;48000;5104;173.9811912;2400.0;8699.059561;2253888
44;22.2;48000;5944;179.2732167;2400.0;8963.660834;2725632
45;11.1;54400;3872;155.9504132;2720.0;7797.520661;1803936
46;22.2;54400;7256;166.4388093;2720.0;8321.940463;3560400
47;7.4;64000;2800;169.1428571;3200.0;8457.142857;1338848
48;11.1;64000;4208;168.8212928;3200.0;8441.064639;2008272
49;14.8;64000;5608;168.9015692;3200.0;8445.078459;2677696
50;18.5;64000;6872;172.2933644;3200.0;8614.668219;3347120
51;3.7;2600;96;100.2083333;364.0;14029.16667;45000
52;7.4;2600;184;104.5652174;364.0;14639.13043;99000
0;14.8;33300;2160;228.1666667;2997.0;20535.0;1354968
1;7.4;4500;270;123.3333333;225.0;6166.666667;128790
2;11.1;4500;396;126.1363636;225.0;6306.818182;186030
3;7.4;6750;351;142.3076923;337.5;7115.384615;184140
4;11.1;6750;513;146.0526316;337.5;7302.631579;276210
5;7.4;8190;423;143.2765957;409.5;7163.829787;207675
6;7.4;12150;549;163.7704918;607.5;8188.52459;270504
7;11.1;12150;846;159.4148936;607.5;7970.744681;416160
8;7.4;12150;576;156.09375;607.5;7804.6875;270504
9;11.1;12150;855;157.7368421;607.5;7886.842105;416160
10;11.1;19800;1359;161.7218543;990.0;8086.092715;674730
11;14.8;19800;1773;165.2791878;990.0;8263.959391;867510
12;7.4;25200;1107;168.4552846;1260.0;8422.764228;530604
13;11.1;25200;1629;171.7127072;1260.0;8585.635359;749088
14;11.1;25200;1629;171.7127072;1260.0;8585.635359;749088
